"","Site.of.Cancer","Average.Annual.Cases.malefemale","incidence.rate.per.100.000.Population.malefemale","incidence.95lower.malefemale","incidence.95upper.malefemale","Average.Annual.Cases.male","incidence.rate.per.100.000.male","incidence.95lower.male","incidence.95upper.male","Average.Annual.Cases.female","Rate.per.100.000.female","incidence.95lower.female","incidence.95upper.female","Average.Annual.Deaths.malefemale","mortality.rate.per.100.000.Population.malefemale","mortality.95lower.malefemale","mortality.95upper.malefemale","Average.Annual.Deaths.male","mortality.rate.per.100.000.male","mortality.95lower.male","mortality.95upper.male","Average.Annual.Deaths.female","mortality.rate.per.100.000.female","mortality.95lower.female","mortality.95upper.female","county.name"
"779","All Invasive Malignant Tumors",1585.6,550.5,537.9,563.3,826.6,615.2,595.9,635.1,759,506.1,489.2,523.4,513.2,171.6,164.9,178.7,278.2,213.9,202.5,225.9,235,142.6,134.2,151.4,"Niagara"
"780","Oral cavity and pharynx",39.4,13.2,11.4,15.3,26,18.4,15.3,22,13.4,8.8,6.7,11.4,7,2.3,1.6,3.2,5,3.5,2.3,5.3,2,1.2,0.6,2.4,"Niagara"
"781","Esophagus",19.8,6.4,5.2,7.9,16.6,11.4,9,14.3,3.2,2.2,1.2,3.7,17.2,5.5,4.3,6.8,14.8,10.1,7.8,12.8,2.4,1.6,0.8,2.9,"Niagara"
"782","Stomach",21.8,7.2,5.9,8.8,13.6,10,7.7,12.9,8.2,5,3.6,7,7.2,2.3,1.6,3.2,5.2,3.7,2.4,5.5,2,1.2,0.6,2.4,"Niagara"
"783","Colorectal",115,40.5,37.2,44.2,62.4,48,42.7,53.9,52.6,34.7,30.4,39.5,32.6,11,9.3,13,16,12.1,9.5,15.3,16.6,10,7.9,12.7,"Niagara"
"784","Colon excluding rectum",80,27.9,25.1,30.9,40.8,31.4,27.1,36.2,39.2,25.2,21.7,29.3,27.4,9.3,7.8,11.1,13,9.9,7.6,12.8,14.4,8.7,6.7,11.2,"Niagara"
"785","Rectum & rectosigmoid",35,12.7,10.8,14.8,21.6,16.7,13.6,20.3,13.4,9.5,7.2,12.3,5.2,1.7,1.1,2.6,3,2.2,1.2,3.7,2.2,1.3,0.6,2.5,"Niagara"
"786","Liver / intrahepatic bile duct",23.6,7.5,6.1,9,16.6,11,8.7,13.8,7,4.3,2.9,6.1,18.2,6,4.8,7.5,10.8,7.7,5.7,10.3,7.4,4.5,3.1,6.4,"Niagara"
"787","Pancreas",45.8,15.4,13.4,17.6,23.4,17.6,14.5,21.3,22.4,13.7,11.2,16.6,32,10.8,9.2,12.7,15.8,12.2,9.6,15.4,16.2,9.8,7.7,12.3,"Niagara"
"788","Larynx",10.8,3.7,2.7,4.9,9,6.7,4.8,9.1,1.8,1.2,0.5,2.4,3,0.9,0.5,1.6,2,1.5,0.7,2.9,1,0.5,0.2,1.4,"Niagara"
"789","Lung and bronchus",230.2,76.8,72.3,81.5,113.6,84.4,77.4,91.9,116.6,72.5,66.6,78.9,150.6,49.7,46.1,53.5,85,64.6,58.5,71.3,65.6,39.5,35.3,44.2,"Niagara"
"790","Melanoma of the skin",82.6,30.7,27.7,34.1,44.8,34.4,29.9,39.5,37.8,28.7,24.4,33.4,4.6,1.7,1,2.6,2.6,2.2,1.2,3.9,2,1.2,0.6,2.4,"Niagara"
"791","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,211.8,142.6,133.7,152,NA,NA,NA,NA,NA,NA,NA,NA,32.6,20.6,17.4,24.3,"Niagara"
"792","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,8.6,7.9,5.6,10.8,NA,NA,NA,NA,NA,NA,NA,NA,2.4,1.5,0.7,2.8,"Niagara"
"793","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,47.8,31.4,27.3,35.9,NA,NA,NA,NA,NA,NA,NA,NA,7.4,4.7,3.2,6.6,"Niagara"
"794","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,19,12.7,10.1,15.7,NA,NA,NA,NA,NA,NA,NA,NA,12.6,7.9,6,10.3,"Niagara"
"795","Prostate",NA,NA,NA,NA,202,138.3,129.6,147.4,NA,NA,NA,NA,NA,NA,NA,NA,22.8,18.6,15.3,22.4,NA,NA,NA,NA,"Niagara"
"796","Testis",NA,NA,NA,NA,8.2,8.3,5.8,11.3,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.6,0.1,1.8,NA,NA,NA,NA,"Niagara"
"797","Urinary bladder (incl. in situ)",104.8,34.7,31.7,37.9,77.6,59,53.1,65.4,27.2,16,13.4,19,14.8,4.9,3.8,6.2,11.2,8.8,6.6,11.6,3.6,2.2,1.2,3.6,"Niagara"
"798","Kidney and renal pelvis",53.2,18.3,16.1,20.8,34.6,25.6,21.8,30,18.6,11.8,9.4,14.7,11.4,3.7,2.8,4.9,6.8,5.1,3.5,7.2,4.6,2.6,1.6,4.1,"Niagara"
"799","Brain and other central nervous system",21.2,8.5,6.9,10.4,12.2,10.2,7.7,13.2,9,7.3,5.2,9.9,11.4,4.2,3.1,5.5,7.4,5.6,3.9,7.8,4,3,1.8,4.8,"Niagara"
"800","Thyroid",37.4,16.6,14.2,19.3,12.2,10.9,8.2,14.2,25.2,22.2,18.3,26.7,1.6,0.5,0.2,1.1,1,0.9,0.3,2.1,0.6,0.3,0.1,1.2,"Niagara"
"801","Hodgkin lymphoma",8.8,4.1,3,5.6,5,5,3.2,7.5,3.8,3.3,2,5.3,0.4,0.2,0,0.6,0.4,0.4,0,1.4,0,0,0,0.7,"Niagara"
"802","Non-Hodgkin lymphomas",65,22.4,20,25.2,34.2,25.4,21.6,29.7,30.8,20.2,17,23.9,19.4,6.5,5.2,8,11.2,8.7,6.5,11.5,8.2,4.9,3.5,6.8,"Niagara"
"803","Myeloma",17.6,6.1,4.9,7.6,10.6,8.2,6.1,10.9,7,4.2,2.9,6,9,3.2,2.3,4.3,5.6,4.6,3,6.7,3.4,2.2,1.2,3.6,"Niagara"
"804","Leukemias",48.6,17.8,15.5,20.3,28.8,23.7,19.8,28.1,19.8,13.4,10.7,16.6,19,6.3,5.1,7.8,11.8,9.6,7.3,12.5,7.2,4.1,2.8,5.8,"Niagara"
"805","All Invasive Malignant Tumors",1565.8,515.2,503.4,527.2,815.4,566.6,548.9,584.8,750.4,480.6,464.5,497.2,524,163.4,157,170,284,199.7,189.2,210.6,240,136,128,144.4,"Oneida"
"806","Oral cavity and pharynx",40.6,13.7,11.8,15.8,30.4,20.9,17.6,24.7,10.2,7.1,5.2,9.6,9.2,2.9,2.1,3.9,7,4.7,3.2,6.6,2.2,1.3,0.6,2.4,"Oneida"
"807","Esophagus",18.2,5.8,4.7,7.2,12.8,8.8,6.8,11.4,5.4,3.4,2.2,5.2,16.4,4.9,3.9,6.2,13.4,8.9,6.9,11.4,3,1.7,1,3,"Oneida"
"808","Stomach",22.6,7.4,6.1,9,13.8,9.6,7.4,12.2,8.8,5.9,4.2,8,5.6,1.9,1.2,2.8,2.8,2,1.1,3.4,2.8,1.9,1,3.4,"Oneida"
"809","Colorectal",111.8,37.6,34.4,41,55.6,40.4,35.7,45.6,56.2,35.7,31.4,40.5,40.2,12.4,10.7,14.4,22.4,15.8,13,19.2,17.8,9.9,7.8,12.4,"Oneida"
"810","Colon excluding rectum",78,26,23.4,28.9,35.6,26.5,22.6,30.8,42.4,26.2,22.6,30.3,34,10.4,8.8,12.1,18.2,12.9,10.3,15.9,15.8,8.6,6.7,10.9,"Oneida"
"811","Rectum & rectosigmoid",33.8,11.5,9.8,13.5,20,13.9,11.3,17.1,13.8,9.5,7.3,12.3,6.2,2.1,1.4,3,4.2,3,1.8,4.6,2,1.3,0.6,2.6,"Oneida"
"812","Liver / intrahepatic bile duct",25,8,6.6,9.6,17,11.6,9.2,14.5,8,4.8,3.4,6.6,16.6,5.1,4,6.3,11.4,7.7,5.8,10.1,5.2,3,1.9,4.5,"Oneida"
"813","Pancreas",49.2,15.3,13.4,17.4,26.2,18,15,21.5,23,13,10.7,15.8,34.8,10.7,9.1,12.5,19.8,13.7,11.1,16.9,15,8.2,6.4,10.5,"Oneida"
"814","Larynx",17.8,5.8,4.6,7.2,13,8.8,6.8,11.4,4.8,3.2,2,4.9,4.8,1.5,0.9,2.3,3.2,2.1,1.2,3.5,1.6,0.9,0.4,1.9,"Oneida"
"815","Lung and bronchus",230.2,72.6,68.4,77.1,123,85.4,78.6,92.6,107.2,62.8,57.5,68.6,139.2,43.5,40.3,47,78.4,54.2,48.8,60,60.8,35.2,31.2,39.6,"Oneida"
"816","Melanoma of the skin",52.4,18.6,16.3,21.1,28.8,21.1,17.7,25,23.6,17.5,14.3,21.2,7,2.2,1.5,3.2,4,2.9,1.7,4.6,3,1.6,0.9,2.9,"Oneida"
"817","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,199.8,130.2,121.8,139.1,NA,NA,NA,NA,NA,NA,NA,NA,28,16.3,13.6,19.5,"Oneida"
"818","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,7.6,5.7,3.9,8,NA,NA,NA,NA,NA,NA,NA,NA,2.6,1.4,0.8,2.6,"Oneida"
"819","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,59.4,37.6,33.3,42.5,NA,NA,NA,NA,NA,NA,NA,NA,10,5.8,4.3,7.8,"Oneida"
"820","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,22.6,14.6,11.9,17.8,NA,NA,NA,NA,NA,NA,NA,NA,13.6,8.3,6.4,10.8,"Oneida"
"821","Prostate",NA,NA,NA,NA,205.6,131.3,123.3,139.9,NA,NA,NA,NA,NA,NA,NA,NA,23,16.5,13.6,19.9,NA,NA,NA,NA,"Oneida"
"822","Testis",NA,NA,NA,NA,7.8,6.9,4.9,9.6,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.1,0,0.8,NA,NA,NA,NA,"Oneida"
"823","Urinary bladder (incl. in situ)",88,27.5,25,30.3,68,48.3,43.2,53.8,20,11.2,9,13.8,19.4,5.9,4.7,7.2,13.8,10.1,7.9,12.9,5.6,2.9,1.9,4.3,"Oneida"
"824","Kidney and renal pelvis",54.6,18.3,16.1,20.7,34.2,24.2,20.6,28.3,20.4,13.4,10.8,16.5,8.8,2.7,1.9,3.6,5.4,3.6,2.4,5.4,3.4,2,1.1,3.3,"Oneida"
"825","Brain and other central nervous system",21.8,8.3,6.7,10.1,12.4,9.9,7.5,12.7,9.4,6.8,4.9,9.2,13.6,4.5,3.5,5.8,8.6,6,4.3,8.1,5,3.3,2.1,5.1,"Oneida"
"826","Thyroid",47.8,19.5,17,22.3,15,11.6,9.1,14.7,32.8,27.9,23.6,32.8,1.6,0.5,0.2,1.1,1,0.8,0.3,1.9,0.6,0.3,0.1,1.1,"Oneida"
"827","Hodgkin lymphoma",8.6,3.7,2.6,5,3.6,2.7,1.6,4.4,5,4.6,2.9,6.9,1.2,0.4,0.1,1,1,0.8,0.2,1.9,0.2,0.1,0,0.8,"Oneida"
"828","Non-Hodgkin lymphomas",67.4,22.3,19.9,24.9,37.2,27.1,23.2,31.4,30.2,18.2,15.3,21.6,23.2,7.4,6.1,9,13.4,10.2,7.9,13.1,9.8,5.1,3.7,7,"Oneida"
"829","Myeloma",23,7.4,6,8.9,13.6,9.8,7.6,12.5,9.4,5.3,3.9,7.2,8.6,2.7,1.9,3.6,4.2,3.1,1.9,4.8,4.4,2.3,1.4,3.7,"Oneida"
"830","Leukemias",53,18,15.8,20.5,31.4,23,19.4,27,21.6,13.8,11.2,17,20.2,6.3,5.1,7.8,11.8,8.4,6.4,10.9,8.4,4.8,3.3,6.7,"Oneida"
"831","All Invasive Malignant Tumors",3004.8,519.2,510.7,527.9,1520.8,571.7,558.6,585.2,1484,481.8,470.4,493.4,935.8,158.2,153.6,163,471,184.7,177.1,192.5,464.8,140.4,134.6,146.5,"Onondaga"
"832","Oral cavity and pharynx",73.8,12.7,11.4,14.1,48.6,18.1,15.8,20.6,25.2,8.1,6.7,9.7,13.2,2.2,1.7,2.8,7.6,2.8,2,3.9,5.6,1.7,1.1,2.5,"Onondaga"
"833","Esophagus",27.4,4.6,3.9,5.5,21.4,8,6.5,9.7,6,1.9,1.2,2.7,26.2,4.3,3.6,5.1,22.2,8.3,6.8,10,4,1.1,0.7,1.8,"Onondaga"
"834","Stomach",46,7.9,6.9,9.1,30.4,11.7,9.9,13.8,15.6,5,3.9,6.3,14.2,2.5,2,3.2,8.4,3.4,2.4,4.6,5.8,1.9,1.3,2.8,"Onondaga"
"835","Colorectal",224,39.1,36.8,41.6,109,43.2,39.5,47.1,115,35.8,32.8,39,77.6,13.1,11.7,14.5,37.6,15.2,13.1,17.7,40,11.6,10,13.5,"Onondaga"
"836","Colon excluding rectum",153.6,26.8,24.9,28.9,71.6,28.8,25.8,32.1,82,25.2,22.7,27.9,58.8,9.7,8.6,10.9,27.6,11.3,9.5,13.5,31.2,8.7,7.3,10.2,"Onondaga"
"837","Rectum & rectosigmoid",70.4,12.3,11,13.7,37.4,14.3,12.3,16.6,33,10.6,9,12.4,18.8,3.3,2.7,4.1,10,3.9,2.9,5.2,8.8,2.9,2.1,4,"Onondaga"
"838","Liver / intrahepatic bile duct",48.2,7.8,6.8,8.9,35.4,12.3,10.5,14.3,12.8,3.9,3,5.1,33.6,5.6,4.8,6.6,22.6,8.3,6.8,10,11,3.4,2.5,4.5,"Onondaga"
"839","Pancreas",89.6,15.3,13.9,16.8,45.4,17.4,15.1,19.9,44.2,13.6,11.8,15.6,71.6,11.9,10.6,13.2,34.6,13.3,11.4,15.5,37,10.7,9.2,12.4,"Onondaga"
"840","Larynx",22.6,3.7,3,4.5,18.4,6.6,5.3,8.2,4.2,1.3,0.8,2,7,1.2,0.8,1.6,6.2,2.4,1.6,3.4,0.8,0.2,0.1,0.7,"Onondaga"
"841","Lung and bronchus",449.6,75.6,72.4,78.9,220,83.9,78.9,89.1,229.6,69.9,65.8,74.1,249.2,41.7,39.4,44.1,130,49.7,45.9,53.8,119.2,35.8,32.9,38.9,"Onondaga"
"842","Melanoma of the skin",107.2,19.5,17.8,21.3,60.6,24.2,21.5,27.2,46.6,16.3,14.2,18.7,12.2,2.1,1.6,2.8,8.2,3.2,2.3,4.5,4,1.3,0.8,2.1,"Onondaga"
"843","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,413.4,136.7,130.6,143,NA,NA,NA,NA,NA,NA,NA,NA,63.8,19.9,17.7,22.4,"Onondaga"
"844","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,16.4,6.5,5.1,8.1,NA,NA,NA,NA,NA,NA,NA,NA,5,1.6,1,2.5,"Onondaga"
"845","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,99.2,32.2,29.3,35.2,NA,NA,NA,NA,NA,NA,NA,NA,13.2,3.9,3,5,"Onondaga"
"846","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,30.2,9.9,8.3,11.7,NA,NA,NA,NA,NA,NA,NA,NA,21,6.5,5.3,8,"Onondaga"
"847","Prostate",NA,NA,NA,NA,444,152.8,146.4,159.5,NA,NA,NA,NA,NA,NA,NA,NA,41.4,17,14.7,19.5,NA,NA,NA,NA,"Onondaga"
"848","Testis",NA,NA,NA,NA,13.6,6.2,4.8,7.9,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.2,0.1,0.7,NA,NA,NA,NA,"Onondaga"
"849","Urinary bladder (incl. in situ)",152.6,26.1,24.3,28.1,111.4,44.4,40.7,48.4,41.2,12.5,10.8,14.5,24.2,4,3.3,4.8,17,6.8,5.4,8.4,7.2,2.1,1.4,2.9,"Onondaga"
"850","Kidney and renal pelvis",108,19,17.4,20.8,66.8,25.4,22.6,28.4,41.2,13.7,11.8,15.9,17.4,2.9,2.3,3.7,11.2,4.2,3.2,5.5,6.2,1.9,1.2,2.7,"Onondaga"
"851","Brain and other central nervous system",39.2,7.5,6.4,8.6,21.8,8.8,7.2,10.7,17.4,6.4,5,8,29.8,5.6,4.7,6.6,17.4,7.1,5.6,8.8,12.4,4.4,3.3,5.7,"Onondaga"
"852","Thyroid",83.4,17.2,15.5,19,19.4,7.9,6.4,9.7,64,26.1,23.2,29.2,4.2,0.7,0.4,1.1,2.4,1,0.5,1.8,1.8,0.5,0.2,1.1,"Onondaga"
"853","Hodgkin lymphoma",15.6,3.1,2.4,3.9,8,3.4,2.4,4.7,7.6,2.8,1.9,3.9,1.6,0.3,0.1,0.6,0.8,0.3,0.1,0.9,0.8,0.2,0.1,0.7,"Onondaga"
"854","Non-Hodgkin lymphomas",117,20.6,18.9,22.4,59.6,23.2,20.6,26.1,57.4,18.3,16.1,20.6,27.4,4.6,3.9,5.5,15,6.1,4.7,7.6,12.4,3.5,2.6,4.5,"Onondaga"
"855","Myeloma",41.4,7.2,6.2,8.3,21,8.2,6.7,10,20.4,6.4,5.2,7.9,15.6,2.7,2.1,3.4,6.4,2.6,1.8,3.7,9.2,2.8,2,3.8,"Onondaga"
"856","Leukemias",103.2,18.1,16.5,19.8,59.8,23.4,20.7,26.3,43.4,13.9,12.1,16,39.6,7,6,8.1,19.2,8.1,6.5,9.9,20.4,6.4,5.1,7.8,"Onondaga"
"857","All Invasive Malignant Tumors",777,511.9,495.2,529,402,568.9,543.3,595.4,375,473.7,451.3,497.1,253.6,161.4,152.4,170.8,132.2,194.6,179.6,210.6,121.4,138.6,127.5,150.7,"Ontario"
"858","Oral cavity and pharynx",20.2,13,10.5,16.1,14,19.1,14.7,24.4,6.2,8.2,5.4,12.1,4,2.7,1.6,4.3,3,4.8,2.6,8.2,1,1.3,0.4,3.3,"Ontario"
"859","Esophagus",9.8,6.2,4.5,8.3,8.8,12.5,9,17.1,1,1.1,0.3,2.9,8.2,5.4,3.8,7.4,7.4,10.8,7.5,15.2,0.8,0.9,0.2,2.6,"Ontario"
"860","Stomach",8.8,5.9,4.2,8.1,5.6,8.3,5.4,12.3,3.2,4.2,2.3,7.1,2,1.4,0.6,2.8,1.4,2.4,0.9,5.3,0.6,0.6,0.1,2.3,"Ontario"
"861","Colorectal",49.6,34.2,29.9,39,22.4,33.9,27.7,41.3,27.2,34.3,28.5,41.1,17.2,11.1,8.8,13.8,7.4,11.4,8,16,9.8,10.6,7.8,14.4,"Ontario"
"862","Colon excluding rectum",35.2,23.9,20.3,27.9,13.2,19.8,15.2,25.6,22,27.4,22.3,33.4,14.6,9.3,7.3,11.9,5.6,8.8,5.7,13,9,9.7,7,13.3,"Ontario"
"863","Rectum & rectosigmoid",14.4,10.3,7.9,13.2,9.2,14.1,10.1,19.2,5.2,6.9,4.4,10.5,2.6,1.7,0.9,3.1,1.8,2.6,1.2,5.2,0.8,0.9,0.3,2.7,"Ontario"
"864","Liver / intrahepatic bile duct",9.2,5.7,4.1,7.7,6.4,8.6,5.8,12.4,2.8,3.3,1.8,5.8,7.8,4.9,3.5,6.9,5.2,6.9,4.5,10.4,2.6,3.2,1.6,5.9,"Ontario"
"865","Pancreas",23,14.7,12,17.8,12.2,17.8,13.4,23.1,10.8,12.2,9.1,16.3,17.4,11,8.7,13.7,9,13.3,9.6,18.1,8.4,9.1,6.5,12.6,"Ontario"
"866","Larynx",5.8,3.7,2.4,5.4,4.8,6.7,4.3,10.3,1,1.1,0.3,2.9,1.8,1.2,0.6,2.5,1.4,2.2,0.8,4.7,0.4,0.5,0.1,2.1,"Ontario"
"867","Lung and bronchus",107.4,68,62.2,74.2,53.6,74.3,65.4,84.1,53.8,63.7,56.2,72.2,67.8,42.4,37.9,47.3,33,46.6,39.6,54.6,34.8,40.1,34.3,46.9,"Ontario"
"868","Melanoma of the skin",42.4,30,25.8,34.6,26.2,38.2,31.7,45.8,16.2,23.8,18.5,30.1,5.4,3.7,2.4,5.5,3.6,5.3,3,8.7,1.8,2.2,1,4.6,"Ontario"
"869","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,118.2,149.1,136.7,162.5,NA,NA,NA,NA,NA,NA,NA,NA,15.4,18,14,22.8,"Ontario"
"870","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,4.2,8,4.8,12.6,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1.5,0.6,3.4,"Ontario"
"871","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,28.6,33.1,27.8,39.3,NA,NA,NA,NA,NA,NA,NA,NA,4.4,4.6,2.9,7.3,"Ontario"
"872","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,8,10.6,7.4,14.9,NA,NA,NA,NA,NA,NA,NA,NA,6.6,7.7,5.2,11.1,"Ontario"
"873","Prostate",NA,NA,NA,NA,108.8,141.2,129.2,154.1,NA,NA,NA,NA,NA,NA,NA,NA,10.2,15.5,11.5,20.6,NA,NA,NA,NA,"Ontario"
"874","Testis",NA,NA,NA,NA,2.8,6.4,3.4,10.7,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.6,0,2.7,NA,NA,NA,NA,"Ontario"
"875","Urinary bladder (incl. in situ)",41.4,26.9,23.2,30.9,32.2,47.5,40.3,55.7,9.2,11.2,8.1,15.3,8.2,4.9,3.5,6.8,5.6,8.2,5.4,12.1,2.6,2.9,1.5,5.3,"Ontario"
"876","Kidney and renal pelvis",26.8,18.3,15.1,21.9,18.4,26.8,21.3,33.3,8.4,10.8,7.6,15,5.4,3.3,2.1,4.9,4.4,6.1,3.8,9.5,1,1,0.3,2.7,"Ontario"
"877","Brain and other central nervous system",9.2,6.4,4.6,8.7,4.8,7,4.4,10.7,4.4,6.2,3.7,9.6,7.2,5.1,3.5,7.3,4.6,6.4,3.9,9.9,2.6,4.2,2.1,7.4,"Ontario"
"878","Thyroid",13.2,11.6,8.8,14.9,3.8,6.7,3.9,10.8,9.4,16.2,11.7,21.9,1.2,0.8,0.3,1.8,0,0,0,1.5,1.2,1.3,0.5,3.3,"Ontario"
"879","Hodgkin lymphoma",3.8,3,1.7,4.8,1.4,2.3,0.9,4.9,2.4,3.6,1.7,6.6,0.6,0.4,0.1,1.2,0.2,0.4,0,2.1,0.4,0.4,0,1.9,"Ontario"
"880","Non-Hodgkin lymphomas",32,21.5,18.2,25.3,17.8,25.9,20.7,32.3,14.2,18.1,14,23.3,12.6,8.1,6.2,10.5,7.2,11.2,7.8,15.7,5.4,5.6,3.6,8.4,"Ontario"
"881","Myeloma",11.2,7.4,5.5,9.8,7,9.8,6.8,13.9,4.2,5.3,3.2,8.5,5.6,3.5,2.3,5.2,3.4,5,2.9,8.2,2.2,2.4,1.2,4.7,"Ontario"
"882","Leukemias",28.2,18.6,15.5,22.2,17.2,25.1,19.9,31.3,11,13.1,9.7,17.5,12,7.7,5.9,10.1,8,11.9,8.4,16.4,4,4.7,2.8,7.6,"Ontario"
"883","All Invasive Malignant Tumors",2036.8,496.2,486.4,506.2,1007.2,528.3,513.3,543.6,1029.6,479.9,466.6,493.6,739.6,183.1,177.2,189.3,358.2,204.8,195.1,214.8,381.4,170.7,163,178.7,"Orange"
"884","Oral cavity and pharynx",49.2,11.7,10.3,13.3,34.4,17.5,14.9,20.5,14.8,6.8,5.3,8.7,9,2.1,1.5,2.8,6.2,3.3,2.2,4.7,2.8,1.2,0.6,2,"Orange"
"885","Esophagus",21,5.1,4.1,6.2,16.8,9,7.1,11.2,4.2,1.9,1.2,2.9,15.4,3.6,2.9,4.6,11.2,5.7,4.3,7.5,4.2,1.9,1.1,2.9,"Orange"
"886","Stomach",35,8.6,7.3,10,20.2,10.5,8.5,12.9,14.8,7,5.4,8.8,14,3.5,2.7,4.4,8.2,4.5,3.2,6.2,5.8,2.6,1.7,3.8,"Orange"
"887","Colorectal",164,40.5,37.7,43.4,88.4,48,43.5,52.8,75.6,34.5,31,38.2,61.8,15.5,13.8,17.4,30,17,14.3,20.1,31.8,14.5,12.2,17,"Orange"
"888","Colon excluding rectum",119.4,29.6,27.3,32.2,60.4,33.5,29.7,37.6,59,26.7,23.7,30.1,48.6,12.2,10.7,13.9,24,13.6,11.2,16.4,24.6,11.2,9.2,13.4,"Orange"
"889","Rectum & rectosigmoid",44.6,10.8,9.4,12.4,28,14.5,12.1,17.2,16.6,7.7,6.1,9.6,13.2,3.3,2.5,4.2,6,3.4,2.3,4.9,7.2,3.3,2.3,4.6,"Orange"
"890","Liver / intrahepatic bile duct",41,9.3,8.1,10.7,28.8,13.7,11.5,16.2,12.2,5.5,4.2,7.1,31.2,7.4,6.3,8.7,21.2,10.9,8.8,13.3,10,4.5,3.3,6,"Orange"
"891","Pancreas",61.6,14.6,13,16.4,31.2,16,13.5,18.8,30.4,13.5,11.4,15.8,59.8,14.6,13,16.4,29.8,16.3,13.7,19.2,30,13.2,11.1,15.6,"Orange"
"892","Larynx",12,2.8,2.2,3.7,9.4,5,3.6,6.7,2.6,1.2,0.6,2,4.8,1.2,0.8,1.8,4,2.4,1.4,3.7,0.8,0.3,0.1,0.9,"Orange"
"893","Lung and bronchus",254.8,62.9,59.4,66.5,121.6,66.4,61,72.1,133.2,60.9,56.2,65.8,177.8,44.4,41.5,47.5,86.6,48.9,44.3,53.9,91.2,41.5,37.7,45.5,"Orange"
"894","Melanoma of the skin",84,20.3,18.3,22.3,48.8,25.9,22.6,29.5,35.2,16.1,13.8,18.8,11.2,2.6,2,3.4,7.8,4.2,2.9,5.7,3.4,1.5,0.9,2.4,"Orange"
"895","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,294,138.6,131.4,146.1,NA,NA,NA,NA,NA,NA,NA,NA,56.4,24.6,21.7,27.7,"Orange"
"896","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,19.6,10.6,8.5,12.9,NA,NA,NA,NA,NA,NA,NA,NA,5.8,2.8,1.8,4,"Orange"
"897","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,73,31.8,28.6,35.4,NA,NA,NA,NA,NA,NA,NA,NA,15.8,7,5.5,8.8,"Orange"
"898","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,26.2,12.1,10.1,14.5,NA,NA,NA,NA,NA,NA,NA,NA,18.4,8.3,6.7,10.2,"Orange"
"899","Prostate",NA,NA,NA,NA,236.6,114.7,108,121.7,NA,NA,NA,NA,NA,NA,NA,NA,34.6,21.8,18.6,25.4,NA,NA,NA,NA,"Orange"
"900","Testis",NA,NA,NA,NA,11.8,6.9,5.2,8.9,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.2,0,0.8,NA,NA,NA,NA,"Orange"
"901","Urinary bladder (incl. in situ)",97.8,23.9,21.8,26.2,77,43.3,39,48.1,20.8,9,7.3,11,21.6,5.6,4.6,6.8,16.2,10.4,8.2,12.9,5.4,2.4,1.6,3.6,"Orange"
"902","Kidney and renal pelvis",75.8,18.1,16.2,20,51.2,25.8,22.6,29.3,24.6,11.3,9.3,13.5,13.4,3.3,2.5,4.2,8,4.3,3,5.9,5.4,2.5,1.6,3.6,"Orange"
"903","Brain and other central nervous system",22,5.5,4.5,6.7,14.4,7.6,5.9,9.7,7.6,3.8,2.6,5.2,19.8,5,4,6.1,10.2,5.3,3.9,7.1,9.6,4.6,3.4,6.1,"Orange"
"904","Thyroid",73.6,20.1,18,22.3,18.4,9.9,7.9,12.3,55.2,30.3,26.7,34.1,1.6,0.4,0.2,0.9,1,0.6,0.2,1.4,0.6,0.3,0.1,0.9,"Orange"
"905","Hodgkin lymphoma",10.8,2.8,2.1,3.7,5.8,3.1,2.1,4.5,5,2.6,1.7,3.8,1.2,0.3,0.1,0.7,1,0.5,0.2,1.2,0.2,0.1,0,0.7,"Orange"
"906","Non-Hodgkin lymphomas",99.4,24.3,22.2,26.6,56.4,30.2,26.7,34.1,43,19.7,17.1,22.6,27.2,6.7,5.6,7.9,15.4,9,7.1,11.4,11.8,5,3.8,6.5,"Orange"
